id,name,description,unit_price,merchant_id,created_at,updated_at
263405977,Manchette cuir Mathilde,"Composé de cuir tannage végétal et d&#39;un fermoir en étain plaqué argent 12 microns.
Les matériaux sont d&#39;origine européenne (France, Italie et Espagne principalement).

Lacet cuir chèvre brique 5 mm, glitter 10mm pierre de lune, tressé 6mm brique, craquelé 5mm argent et veau 5 mm gris métalisé, montés sur fermoir argent aimanté.
Hauteur 4 cm.

Chez Myou vous pouvez personnaliser votre bracelet ! Rendez-vous sur la page produit “Coloris disponibles pour personnalisation“ afin de choisir vos couleurs de cuirs !

Attention ! La fermeture aimantée est déconseillée aux personnes munies d&#39;un pacemaker.
Garantie sans nickel. Fabrication artisanale française.",5000,12334455,2016-01-11 13:19:57 UTC,2013-12-17 12:38:34 UTC
263406189,Small turquoise stoneware pot,"A slightly wonky but completely unique pot or bowl depending on how you see it.
Smooth stoneware clay
Vibrant turquoise glaze
8.5cm diameter
5.5cm height",1000,12334609,2016-01-11 13:23:27 UTC,1974-01-20 17:53:35 UTC
263406193,Shimmering Peacock,"This decorative lighted wine bottle with 50 lights will brighten up your home, bar area and even act as a night light. Use your imagination! It would be a great conversation piece, a thoughtful gift, or an inspirational piece. This is a unique, one of a kind beautifully handcrafted wine bottle -- ready to display and enjoy. The individual design is the work of one artist and is inspired from the artist’s lakeside retreat.",4500,12334703,2016-01-11 16:19:54 UTC,1973-04-25 05:41:41 UTC
263406249,Manchette cuir Clio,"Lanière cuir chèvre 5 mm beige, lanière cuir veau 5 mm camel, glitter beige, lanière cuir 3mm or et lanière cuir 10 mm façon raie camel, montées sur fermoir bronze aimanté.
Hauteur 3 cm.

Chez Myou vous pouvez personnaliser votre bracelet ! Rendez-vous sur la page produit “Coloris disponibles pour personnalisation“ afin de choisir vos couleurs de cuirs !

Attention ! La fermeture aimantée est déconseillée aux personnes munies d&#39;un pacemaker.
Garantie sans nickel. Fabrication artisanale française.",4500,12334455,2016-01-11 13:24:36 UTC,1982-12-08 17:07:38 UTC
263407051,Collection Mahé,"Composition :
Un demi jonc en métal plaqué argent, un passant en métal argenté montés sur une lanière cuir veau 5 mm doublée.

Coloris disponibles : noir, gris, taupe, blanc, blanc cassé, pistache, kaki, anis, vert, violet, fuchsia, orange, jaune, rouge, prune, cognac, came, marron, turquoise, bleu dur, marine, or, argent.

Chez Myou vous pouvez personnaliser votre bracelet ! Rendez-vous sur la page produit “Coloris disponibles pour personnalisation“ afin de choisir vos couleurs de cuirs de 5mm !

Attention ! La fermeture aimantée est déconseillée aux personnes munies d&#39;un pacemaker.
Garantie sans nickel. Fabrication artisanale française.",2500,12334455,2016-01-11 13:36:27 UTC,2007-12-19 12:52:03 UTC
263407657,Custom Hydrographic Tumblers,"This price is for Customized Hydrographic Tumblers. Rtic Tumbers are the same as a Yeti Tumbler. They hold ice just as long as a Yeti, but dont cost as much! We can also customize your personal cup if u ship it to us. I stock Rtic Tumblers but can order whatever brand you want. Rtic/Yeti/Orca/Engel, etc. All other brands are specail order and will take longer to receive. I dont not stock other brand tumblers.

Check out these links for available patterns
www.bigbrainfilms.com
http://www.watertransferprinting.com/film-gallery

My webstore -www.freewebstore.org/centexcustomcoatings",6000,12334753,2016-01-11 13:55:04 UTC,2007-06-17 23:33:33 UTC
1,KrisFoss,cool,5000,10,2016-01-11 13:55:04 UTC,2007-06-17 23:33:33 UTC
2,SalEspinosa,cooler,10000,10,2016-01-11 13:55:04 UTC,2007-06-17 23:33:33 UTC
3,KrisTwo,stillcooler,10000,29,2016-01-11 13:55:04 UTC,2007-06-17 23:33:33 UTC
263397059,Etre ailleurs,"Acrylique sur carton entoilé exécutée en 2013
Format : 27 x 41 cm
Carton entoilé - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",13000,12334195,2016-01-11 11:30:35 UTC,2007-07-24 05:54:52 UTC
263397163,"A Variety of Fragrance Oils for Oil Burners, Potpourri, Resins + More, Lavender, Patchouli, Nag Champa, Rose, Vanilla, White Linen, Angel","A little definitely goes a long way with Bloomin Scents enticing, relaxing home and anywhere you want tranquillity fragrance oils. Uplift your senses with classic blends of Cinnamon & Orange, Apple Fresh, Patchouli, lavender and more.

Use a drop of one of these fragrance oils in a burner for a roomful of scent. These oils are specifically for &#39;Oil Burners in 10ml Amber Bottles",399,12334207,2016-01-11 10:51:02 UTC,1988-09-01 17:09:25 UTC
